"","AMHE_ANG","AMHE_VOLT","BOWM_ANG","BOWM_VOLT","CLAR_ANG","CLAR_VOLT","CROSS_ANG","CROSS_VOLT","GRAN_ANG","GRAN_VOLT","MAPL_ANG","MAPL_VOLT","TROY_ANG","TROY_VOLT","WAUT_ANG","WAUT_VOLT","WINL_ANG","WINL_VOLT"
"121","-0.11379169355028843","0.0","-0.029469219010731927","0.3191585782759912","0.0","0.0","-0.00937651367918977","0.2793100018647334","-0.13741235211898764","0.15588351539289477","-0.2434499106210188","0.12795722436042323","-0.012650685308370171","0.29782862202564875","-0.11007089648738884","0.21948381208948037","-0.3216054378286054","0.0"
"122","-0.8895584135355612","-0.5","-0.8962787844903312","-0.8114196424818407","0.0","0.0","-0.8841773275661811","-0.8657928795350063","-0.8906184455821856","-0.7910873694788056","-0.8926717104623211","-0.7912103144615155","-0.8870160967077482","-0.7714311868510276","-0.8893788410351456","-0.8338981743359063","-0.8903022233368658","0.0"
"123","0.5987217306489766","-0.5","0.7259732584858094","0.31563916513399887","0.0","0.0","0.6174668104092711","0.3971127260776851","0.5907372381594315","0.4749979037525088","0.5688430467630076","0.41170041582329064","0.7771385998987028","0.4339042400623476","0.597230975425548","0.4507765650090287","0.6092693463600289","0.0"
"124","0.6301921320364285","-0.5","0.7615321313779233","0.2989392107506091","0.0","0.0","0.6582251114737254","0.4016598028627264","0.6185966102076279","0.4782687752067606","0.5944225244499334","0.40192133959337434","0.800830030780342","0.40964919442026754","0.6284066115549907","0.45486440509145554","0.6356596892466996","-0.5"
"125","0.5995149928029291","0.0","0.7415798434329548","0.34501828742594354","0.0","0.0","0.6337097798137018","0.44098913753279473","0.5880126798107519","0.5159565947307901","0.569133115132845","0.4473503632656912","0.7858564952144786","0.4664907831765912","0.5984695629529391","0.4948810645426182","0.60940769203206","-0.25"
"126","-0.15362882737442748","-0.25","-0.06699580325450537","0.31223346750604697","0.0","0.0","-0.04477668927190104","0.2723149198360051","-0.17803787076374938","0.14155112895242433","-0.2807593960539521","0.11520878134777997","-0.047147615854800984","0.2904181018345593","-0.149614940750773","0.20688753283825867","-0.36003330533322575","-0.5"
"127","0.5853387163168615","0.0","0.726705678365654","0.35231435724099985","0.0","0.0","0.6124639485880458","0.4512759839839332","0.5768618381437519","0.5355102327716235","0.5603015147993693","0.45647562406262077","0.7816347775401182","0.4627775969432742","0.5846012534442577","0.5101108339596977","0.6002703832369318","-0.75"
"128","-0.12426025826122393","-0.5","-0.03971048971874662","0.3172229069938829","0.0","0.0","-0.019220924038976697","0.2771656941346111","-0.14791033993217934","0.15239399269326903","-0.2531564908890937","0.12480007686069061","-0.02182894962688879","0.2958687071064169","-0.12046145101859694","0.21626558461767678","-0.3316029807090894","-0.25"
"129","0.6254662156175513","0.0","0.7592100780527947","0.3164091071505186","0.0","0.0","0.6539223589184907","0.4364909901710019","0.614522838177882","0.4792190349364179","0.5913638419834448","0.4024938969368797","0.8000229674861585","0.4090753882204253","0.6238935740327619","0.4706184694911846","0.6325067371570791","0.0"
"13","-0.9464600229841929","-0.5","-0.951799628182339","-0.919458105758008","0.0","0.0","-0.9657116346400813","-0.9142177534833007","-0.9389398443169018","-0.7961704209784047","-0.9384684557718748","-0.8656640453379245","-0.9255289806203477","-0.9275285826660234","-0.9459379438571585","-0.8561836088804745","-0.937092481197842","-1.0"
"130","-0.83881473454781","-0.5","-0.8433348367112088","-0.7553084259103108","0.0","0.0","-0.8453002330767884","-0.8161578748321633","-0.8374474162344624","-0.7814173370847793","-0.8356242687608048","-0.7698162411204368","-0.8100114618945946","-0.7353579900016667","-0.8388160081025147","-0.8035175909999714","-0.8316531940900441","0.0"
"131","-0.8873889605651502","-0.25","-0.9092911941677241","-0.7793961185268172","0.0","0.0","-0.9056248974868039","-0.7825290828138639","-0.883540617388462","-0.8826077236932058","-0.885557363091506","-0.8401254889760746","-0.8811350741704352","-0.7776368043935908","-0.8873930802802245","-0.8473148534402115","-0.8827257580280904","-0.5"
"132","-0.16370135081169973","0.0","-0.0854297138564707","0.30325137782434153","0.0","0.0","-0.06654361284289664","0.26001525403341263","-0.18418993024157762","0.14210799649909622","-0.28804252839406425","0.11323145787781493","-0.05871158502237444","0.2848080138159639","-0.1596231130315832","0.2027854710322659","-0.3675347554694794","-0.25"
"133","0.5941880927855326","-0.5","0.7327481557925013","0.3519042567793357","0.0","0.0","0.6200914249163453","0.4408259075745775","0.5857034062894186","0.5382632558307308","0.5670921752512333","0.46452428453621397","0.7841112211364457","0.47958496992079297","0.593322143655655","0.5068183717638839","0.6072284889157623","-0.25"
"134","-0.8292995793267809","0.0","-0.8354211075019743","-0.6888453824020769","0.0","0.0","-0.8116095595630078","-0.731002648564806","-0.8368666529938822","-0.8532047004805672","-0.8371198895155896","-0.7835771379759668","-0.8223100437570462","-0.6850681436019427","-0.829493790818583","-0.8111621156653844","-0.8331239144090548","0.0"
"135","0.6141993858091348","-0.25","0.7491284217781896","0.35205835894529286","0.0","0.0","0.6432255275627411","0.45714883260355466","0.6042517346654926","0.5182510331784862","0.581238522136105","0.4486016812484292","0.7887241280844193","0.4694347332769001","0.613072337747552","0.5022484025787033","0.6218703476649408","0.0"
"136","0.42142143036283264","0.0","0.17567448722821935","0.10897351425579788","0.0","0.0","0.27108528531808695","0.07788002231050789","0.45936173071449177","0.1400142855853857","0.5981435847609196","0.24894575917842204","0.0708244483928885","0.013804870935089048","0.41815306110301825","0.10129087184876923","0.6401875634105928","0.0"
